Timestamp,Model name,Paper title,Bibtex reference,citeCommand,Year Published,Generative model,Trained on code,Reference to Permissive code,Custom Github scrape,Dataset name,Programming languages,Description of dataset (copy from paper),Dataset available,Trained on file level code,Notes
12/27/2023 10:27:44,CPM-2,CPM-2: Large-scale Cost-effective Pre-trained Language Models,"@misc{zhang2021cpm2,       title={CPM-2: Large-scale Cost-effective Pre-trained Language Models},        author={Zhengyan Zhang and Yuxian Gu and Xu Han and Shengqi Chen and Chaojun Xiao and Zhenbo Sun and Yuan Yao and Fanchao Qi and Jian Guan and Pei Ke and Yanzheng Cai and Guoyang Zeng and Zhixing Tan and Zhiyuan Liu and Minlie Huang and Wentao Han and Yang Liu and Xiaoyan Zhu and Maosong Sun},       year={2021},       eprint={2106.10715},       archivePrefix={arXiv},       primaryClass={cs.CL} }",\cite{zhang2021cpm2},2021,Yes,No,,,,,,,,
12/27/2023 11:29:06,PanGu-α,PanGu-α: Large-scale Autoregressive Pretrained Chinese Language Models with Auto-parallel Computation,"@article{weizeng,   author       = {Wei Zeng and                   Xiaozhe Ren and                   Teng Su and                   Hui Wang and                   Yi Liao and                   Zhiwei Wang and                   Xin Jiang and                   ZhenZhang Yang and                   Kaisheng Wang and                   Xiaoda Zhang and                   Chen Li and                   Ziyan Gong and                   Yifan Yao and                   Xinjing Huang and                   Jun Wang and                   Jianfeng Yu and                   Qi Guo and                   Yue Yu and                   Yan Zhang and                   Jin Wang and                   Hengtao Tao and                   Dasen Yan and                   Zexuan Yi and                   Fang Peng and                   Fangqing Jiang and                   Han Zhang and                   Lingfeng Deng and                   Yehong Zhang and                   Zhe Lin and                   Chao Zhang and                   Shaojie Zhang and                   Mingyue Guo and                   Shanzhi Gu and                   Gaojun Fan and                   Yaowei Wang and                   Xuefeng Jin and                   Qun Liu and                   Yonghong Tian},   title        = {PanGu-{\(\alpha\)}: Large-scale Autoregressive Pretrained Chinese                   Language Models with Auto-parallel Computation},   journal      = {CoRR},   volume       = {abs/2104.12369},   year         = {2021},   url          = {https://arxiv.org/abs/2104.12369},   eprinttype    = {arXiv},   eprint       = {2104.12369},   timestamp    = {Tue, 31 Oct 2023 15:43:37 +0100},   biburl       = {https://dblp.org/rec/journals/corr/abs-2104-12369.bib},   bibsource    = {dblp computer science bibliography, https://dblp.org} }",\cite{weizeng},2021,Yes,No,,,,,,,,
12/27/2023 11:44:18,T0,Multitask Prompted Training Enables Zero-Shot Task Generalization,"@misc{sanh2022multitask,       title={Multitask Prompted Training Enables Zero-Shot Task Generalization},        author={Victor Sanh and Albert Webson and Colin Raffel and Stephen H. Bach and Lintang Sutawika and Zaid Alyafeai and Antoine Chaffin and Arnaud Stiegler and Teven Le Scao and Arun Raja and Manan Dey and M Saiful Bari and Canwen Xu and Urmish Thakker and Shanya Sharma Sharma and Eliza Szczechla and Taewoon Kim and Gunjan Chhablani and Nihal Nayak and Debajyoti Datta and Jonathan Chang and Mike Tian-Jian Jiang and Han Wang and Matteo Manica and Sheng Shen and Zheng Xin Yong and Harshit Pandey and Rachel Bawden and Thomas Wang and Trishala Neeraj and Jos Rozen and Abheesht Sharma and Andrea Santilli and Thibault Fevry and Jason Alan Fries and Ryan Teehan and Tali Bers and Stella Biderman and Leo Gao and Thomas Wolf and Alexander M. Rush},       year={2022},       eprint={2110.08207},       archivePrefix={arXiv},       primaryClass={cs.LG} }",\cite{sanh2022multitask},2022,Yes,No,,,,,,,,
12/27/2023 12:24:57,GPT-NeoX,GPT-NeoX-20B: An Open-Source Autoregressive Language Model,"@inproceedings{black-etal-2022-gpt,     title = ""{GPT}-{N}eo{X}-20{B}: An Open-Source Autoregressive Language Model"",     author = ""Black, Sidney  and       Biderman, Stella  and       Hallahan, Eric  and       Anthony, Quentin  and       Gao, Leo  and       Golding, Laurence  and       He, Horace  and       Leahy, Connor  and       McDonell, Kyle  and       Phang, Jason  and       Pieler, Michael  and       Prashanth, Usvsn Sai  and       Purohit, Shivanshu  and       Reynolds, Laria  and       Tow, Jonathan  and       Wang, Ben  and       Weinbach, Samuel"",     editor = ""Fan, Angela  and       Ilic, Suzana  and       Wolf, Thomas  and       Gall{\'e}, Matthias"",     booktitle = ""Proceedings of BigScience Episode {\#}5 -- Workshop on Challenges {\&} Perspectives in Creating Large Language Models"",     month = may,     year = ""2022"",     address = ""virtual+Dublin"",     publisher = ""Association for Computational Linguistics"",     url = ""https://aclanthology.org/2022.bigscience-1.9"",     doi = ""10.18653/v1/2022.bigscience-1.9"",     pages = ""95--136"", }",\cite{black-etal-2022-gpt},2022,Yes,Yes,No,No,ThePile-GitHub,"Assembly', 'Batchfile', 'C', 'C#', 'C++', 'CMake', 'COBOL', 'CSS', 'CSV', 'Clojure', 'CoffeeScript', 'DM', 'Dart', 'Dockerfile', 'Elixir', 'Erlang', 'Fortran', 'Go', 'Groovy', 'HTML', 'Haskell', 'INI', 'JSON', 'Java', 'JavaScript', 'Julia', 'Kotlin', 'Lisp', 'Lua', 'Makefile', 'Markdown', 'Matlab', 'None', 'OCaml', 'Objective-C', 'PHP', 'Pascal', 'Perl', 'PowerShell', 'Prolog', 'Python', 'R', 'Ruby', 'Rust', 'SQL', 'Scala', 'Shell', 'Swift', 'TOML', 'TeX', 'TypeScript', 'Verilog', 'Visual Basic', 'XML', 'YAML'","""GPT-NeoX-20B was trained on the Pile (Gao et al.,2020), a massive curated dataset designed specifically for training large language models. It consists of data from 22 data sources, coarsely broken down into 5 categories: 
Academic Writing: Pubmed Abstracts and PubMed Central, arXiv, FreeLaw, USPTO Backgrounds, PhilPapers, NIH Exporter;
Web-scrapes and Internet Resources: CommonCrawl, OpenWebText, StackExchange, Wikipedia (English); 
Prose: BookCorpus2, Bibliotik, Project
Gutenberg (PG-19; Rae et al., 2019);
Dialogue: Youtube subtitles, Ubuntu IRC, OpenSubtitles (Lison and Tiedemann, 2016),
Hacker News, EuroParl (Koehn, 2005);
Miscellaneous: GitHub, the DeepMind Mathematics dataset (Saxton et al., 2019), Enron
Emails (Klimt and Yang, 2004);
In aggregate, the Pile consists of over 825GiB of raw text data. The diverse data sources reflects our desire for a general-purpose language model.
",Yes,Yes,
12/27/2023 12:51:17,Tk-instruct,Super-NaturalInstructions: Generalization via Declarative Instructions on 1600+ NLP Tasks,"@inproceedings{wang-etal-2022-super,     title = ""Super-{N}atural{I}nstructions: Generalization via Declarative Instructions on 1600+ {NLP} Tasks"",     author = ""Wang, Yizhong  and       Mishra, Swaroop  and       Alipoormolabashi, Pegah  and       Kordi, Yeganeh  and       Mirzaei, Amirreza  and       Naik, Atharva  and       Ashok, Arjun  and       Dhanasekaran, Arut Selvan  and       Arunkumar, Anjana  and       Stap, David  and       Pathak, Eshaan  and       Karamanolakis, Giannis  and       Lai, Haizhi  and       Purohit, Ishan  and       Mondal, Ishani  and       Anderson, Jacob  and       Kuznia, Kirby  and       Doshi, Krima  and       Pal, Kuntal Kumar  and       Patel, Maitreya  and       Moradshahi, Mehrad  and       Parmar, Mihir  and       Purohit, Mirali  and       Varshney, Neeraj  and       Kaza, Phani Rohitha  and       Verma, Pulkit  and       Puri, Ravsehaj Singh  and       Karia, Rushang  and       Doshi, Savan  and       Sampat, Shailaja Keyur  and       Mishra, Siddhartha  and       Reddy A, Sujan  and       Patro, Sumanta  and       Dixit, Tanay  and       Shen, Xudong"",     editor = ""Goldberg, Yoav  and       Kozareva, Zornitsa  and       Zhang, Yue"",     booktitle = ""Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing"",     month = dec,     year = ""2022"",     address = ""Abu Dhabi, United Arab Emirates"",     publisher = ""Association for Computational Linguistics"",     url = ""https://aclanthology.org/2022.emnlp-main.340"",     doi = ""10.18653/v1/2022.emnlp-main.340"",     pages = ""5085--5109"",}",\cite{wang-etal-2022-super},2022,Yes,Yes,,,,,,,No,"This one is trained on a HUGE dataset with a HUGE amount of tasks. Most of them are text-based tasks, but it also includes text-to-code, code-to-text and program execution tasks, so that is why I said it was trained on code, but that represents a small amount. "
12/28/2023 11:36:15,UL2,UL2: Unifying Language Learning Paradigms,"@article{tay2022unifying,   title={Unifying language learning paradigms},   author={Tay, Yi and Dehghani, Mostafa and Tran, Vinh Q and Garcia, Xavier and Bahri, Dara and Schuster, Tal and Zheng, Huaixiu Steven and Houlsby, Neil and Metzler, Donald},   journal={arXiv preprint arXiv:2205.05131},   year={2022} }",\cite{tay2022unifying},2022,Yes,No,,,,,,,,Maybe in the flan?
12/28/2023 11:41:58,OPT,OPT: Open Pre-trained Transformer Language Models,"@article{zhang2022opt,   title={Opt: Open pre-trained transformer language models},   author={Zhang, Susan and Roller, Stephen and Goyal, Naman and Artetxe, Mikel and Chen, Moya and Chen, Shuohui and Dewan, Christopher and Diab, Mona and Li, Xian and Lin, Xi Victoria and others},   journal={arXiv preprint arXiv:2205.01068},   year={2022} }",\cite{zhang2022opt},2022,Yes,No,,,,,,,,
12/28/2023 11:45:25,NLLB,No Language Left Behind: Scaling Human-Centered Machine Translation,"@article{costa2022no,   title={No language left behind: Scaling human-centered machine translation},   author={Costa-juss{\`a}, Marta R and Cross, James and {\c{C}}elebi, Onur and Elbayad, Maha and Heafield, Kenneth and Heffernan, Kevin and Kalbassi, Elahe and Lam, Janice and Licht, Daniel and Maillard, Jean and others},   journal={arXiv preprint arXiv:2207.04672},   year={2022} }",\cite{costa2022no},2022,Yes,No,,,,,,,,
12/28/2023 11:56:03,CodeGeeX,CodeGeeX: A Pre-Trained Model for Code Generation with Multilingual Evaluations on HumanEval-X,"@article{zheng2023codegeex,   title={Codegeex: A pre-trained model for code generation with multilingual evaluations on humaneval-x},   author={Zheng, Qinkai and Xia, Xiao and Zou, Xu and Dong, Yuxiao and Wang, Shan and Xue, Yufei and Wang, Zihan and Shen, Lei and Wang, Andi and Li, Yang and others},   journal={arXiv preprint arXiv:2303.17568},   year={2023} }",\cite{zheng2023codegeex},2023,Yes,Yes,No,Yes,"The Pils, CodeParrot, custom","CPP, C, CSharp, Cuda, Objective-C, Objective-CPP, Python, Java, Scala, Tex, HTML, Php, JS, TS, Go, Shell, Rust, CSS, SQL, Kotlin, Pascal, R, Fortran","Code Corpus. The training corpus contains two parts. The ﬁrst part is from open source code datasets, the Pile (Gao et al., 2020) and CodeParrot6. The Pile contains a subset of public repositories with more than 100 stars on GitHub, from which we select ﬁles of 23 popular programming languages including C++, Python, Java, JavaScript, C, Go, and so on. We identify the programming language of each ﬁle based on its sufﬁx and the major language of the repository it belongs to. CodeParrot is another public Python dataset from BigQuery. The second part is supplementary data of Python, Java, and C++ directly scraped from GitHub public repositories that do not appear in the ﬁrst part. We choose repositories that have at least one star and a total size within 10MB, then we ﬁlter out ﬁles that: 1) have more than 100 characters per line on average, 2) are automatically generated, 3) have a
ratio of alphabet less than 40%, 4) are bigger than 100KB or smaller than 1KB. We format Python code according to the PEP8 standards. 
Figure 3 shows the composition of the 158B-token training data, containing 23 programming languages. We divide the training data into segments of equal length. To help the model distinguish between multiple languages, we add a language-speciﬁc tag before each segment in the form of [Comment sign]language: [LANG], e.g., # language: Python.",Yes,Yes,
12/28/2023 12:06:01,GLM,GLM: General Language Model Pretraining with Autoregressive Blank Infilling,"@inproceedings{du2022glm,   title={GLM: General Language Model Pretraining with Autoregressive Blank Infilling},   author={Du, Zhengxiao and Qian, Yujie and Liu, Xiao and Ding, Ming and Qiu, Jiezhong and Yang, Zhilin and Tang, Jie},   booktitle={Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)},   pages={320--335},   year={2022} }",\cite{du2022glm},2022,Yes,No,,,,,,,,
12/28/2023 12:27:55,FLAN-T5,Scaling Instruction-Finetuned Language Models,"@article{chung2022scaling,   title={Scaling instruction-finetuned language models},   author={Chung, Hyung Won and Hou, Le and Longpre, Shayne and Zoph, Barret and Tay, Yi and Fedus, William and Li, Yunxuan and Wang, Xuezhi and Dehghani, Mostafa and Brahma, Siddhartha and others},   journal={arXiv preprint arXiv:2210.11416},   year={2022} }",\cite{chung2022scaling},2022,Yes,Yes,Yes,No,The Stack,not specified,"ask mixtures. Prior literature has shown that increasing the number of tasks in ﬁnetuning with instructions improves generalization to unseen tasks (Wei et al., 2021; Sanh et al., 2021, inter alia). In this paper we scale to 1,836 ﬁnetuning tasks by combining four mixtures from prior work: Muﬃn, T0-SF, NIV2, and CoT, as summarized in Figure 2. Muﬃn3 (80 tasks) comprises 62 tasks from Wei et al. (2021) and 26 new tasks that we added in this work, including dialog data (Byrne et al., 2019; Anantha et al., 2021; Dai et al., 2022) and program synthesis data (Yasunaga and Liang, 2020; Li et al., 2022). T0-SF (193 tasks) comprises tasks from T0 (Sanh et al., 2021) that do not overlap with the data used in Muﬃn (SF stands for “sans Flan”). NIV2 (1554 tasks) comprises tasks from Wang et al. (2022c).


Muffin contains the stack",Yes,Yes,
12/28/2023 12:45:58,BLOOM,BLOOM: A 176B-Parameter Open-Access Multilingual Language Model,"@article{workshop2022bloom,   title={Bloom: A 176b-parameter open-access multilingual language model},   author={Workshop, BigScience and Scao, Teven Le and Fan, Angela and Akiki, Christopher and Pavlick, Ellie and Ili{\'c}, Suzana and Hesslow, Daniel and Castagn{\'e}, Roman and Luccioni, Alexandra Sasha and Yvon, Fran{\c{c}}ois and others},   journal={arXiv preprint arXiv:2211.05100},   year={2022} }",\cite{workshop2022bloom},2022,Yes,Yes,No,No,"ROOTS, BigQuery","C++, C#, Go, Java, JavaScript, Lua, PHP, Python, Ruby, Rust, Scala, and TypeScript","BLOOM was trained on the ROOTS corpus (Lauren¸con et al., 2022), a composite collection
of 498 Hugging Face datasets (Lhoest et al., 2021) amounting to 1.61 terabytes of text that
span 46 natural languages and 13 programming languages.

GitHub Code: The catalogue was further complemented with a dataset of programming
languages collected from the GitHub data collection on Google’s BigQuery,10 which was
then deduplicated of exact matches. The choice of languages to include mirrored the design
choices introduced by Li et al. (2022) to train the AlphaCode model.",Yes,Yes,
12/28/2023 14:24:54,Galactica,Galactica: A Large Language Model for Science,"@article{taylor2022galactica,   title={Galactica: A large language model for science},   author={Taylor, Ross and Kardas, Marcin and Cucurull, Guillem and Scialom, Thomas and Hartshorn, Anthony and Saravia, Elvis and Poulton, Andrew and Kerkez, Viktor and Stojnic, Robert},   journal={arXiv preprint arXiv:2211.09085},   year={2022} }",\cite{taylor2022galactica,2022,Yes,Yes,No,Yes,,,"We source academic GitHub repositories from the Papers with Code index for machine learning, physics, mathematics, statistics and astronomy. The index does not explicitly cover sciences such as biology and chemistry, but many of these repositories are captured as part of the general machine learning index. We exclude repositories that do not have a license or copyright file.",No,Yes,
12/28/2023 15:05:28,OPT-IML,OPT-IML: Scaling Language Model Instruction Meta Learning through the Lens of Generalization,"@article{iyer2022opt,   title={Opt-iml: Scaling language model instruction meta learning through the lens of generalization},   author={Iyer, Srinivasan and Lin, Xi Victoria and Pasunuru, Ramakanth and Mihaylov, Todor and Simig, Daniel and Yu, Ping and Shuster, Kurt and Wang, Tianlu and Liu, Qing and Koura, Punit Singh and others},   journal={arXiv preprint arXiv:2212.12017},   year={2022} }",\cite{iyer2022opt},2022,Yes,No,,,,,,,,
12/28/2023 15:08:28,llama,LLaMA: Open and Efficient Foundation Language Models,"@article{touvron2023llama,   title={Llama: Open and efficient foundation language models},   author={Touvron, Hugo and Lavril, Thibaut and Izacard, Gautier and Martinet, Xavier and Lachaux, Marie-Anne and Lacroix, Timoth{\'e}e and Rozi{\`e}re, Baptiste and Goyal, Naman and Hambro, Eric and Azhar, Faisal and others},   journal={arXiv preprint arXiv:2302.13971},   year={2023} }",\cite{touvron2023llama},2023,Yes,Yes,Yes,No,BigQuery,,"Github [4.5%]. We use the public GitHub dataset available on Google BigQuery. We only kept projects that are distributed under the Apache, BSD and MIT licenses. Additionally, we filtered low quality files with heuristics based on the line length or proportion of  alphanumeric characters, and removed boilerplate, such as headers, with regular expressions. Finally, we deduplicate the resulting dataset at the file level, with exact matches.",Yes,Yes,
12/28/2023 15:14:35,Baichuan 2,Baichuan 2: Open Large-scale Language Models,"@article{yang2023baichuan,   title={Baichuan 2: Open large-scale language models},   author={Yang, Aiyuan and Xiao, Bin and Wang, Bingning and Zhang, Borong and Bian, Ce and Yin, Chao and Lv, Chenxu and Pan, Da and Wang, Dian and Yan, Dong and others},   journal={arXiv preprint arXiv:2309.10305},   year={2023} }",\cite{yang2023baichuan},2023,Yes,Yes,No,Yes,,,"Data sourcing: During data acquisition, our objective is to pursue comprehensive data
scalability and representativeness. We gather data from diverse sources including general internet webpages, books, research papers, codebases, and more to build an extensive world knowledge system. The composition of the training corpus is shown in Figure 1.",No,Yes,
